study_hours_per_day,attendance_percentage,assignments_completed,sleep_hours,previous_score,internet_access,extracurricular_activities,parental_education_level,distance_from_school_km,tutoring,final_score
1.1,62.1,8,6.6,48.4,1,0,2,14.2,1,36.72
9.1,59.6,7,8.5,91.2,0,1,4,16.4,0,78.82
1.8,48.9,1,9.5,39.0,1,1,4,29.9,1,15.19
3.9,58.3,2,7.4,80.4,0,0,4,12.3,1,38.58
9.6,92.6,1,5.1,37.1,0,0,3,18.7,1,45.79
9.6,99.8,7,5.6,73.6,1,0,2,11.3,1,84.34
6.2,62.1,5,5.2,54.9,0,0,2,12.1,0,37.84
6.7,66.9,5,5.5,85.2,0,1,2,21.0,1,49.33
5.0,83.3,8,5.8,46.4,1,1,4,28.2,1,57.53
3.6,93.2,7,7.3,74.7,1,1,3,16.5,1,64.35
4.0,75.6,3,7.5,46.5,0,1,4,23.2,0,30.94
7.1,63.5,3,6.6,80.0,1,0,1,3.1,0,60.39
7.8,64.8,8,7.7,91.2,0,1,1,6.7,0,80.83
8.1,81.7,0,4.5,38.9,0,0,2,15.3,1,22.85
8.1,40.2,1,4.5,90.7,1,1,4,1.1,0,62.36
1.8,77.2,1,5.0,71.6,1,0,1,8.0,0,23.06
5.4,61.3,5,7.1,38.9,0,0,1,15.8,0,30.98
1.5,87.7,3,5.3,59.9,1,0,4,0.9,1,40.76
5.9,45.6,10,5.7,41.3,1,0,3,8.3,0,49.0
5.0,75.3,9,6.4,79.0,0,0,4,15.7,0,58.53
9.0,68.9,2,8.9,83.1,0,1,4,17.4,0,58.57
4.2,78.5,2,4.1,37.4,0,0,3,27.8,1,18.19
2.1,43.9,2,7.9,65.4,0,1,2,19.5,1,25.84
2.3,74.8,5,8.0,87.0,0,1,2,12.7,0,52.67
7.9,73.7,7,8.8,95.5,0,0,2,27.9,0,64.8
6.6,73.6,10,9.6,65.9,1,1,3,23.7,0,74.5
1.9,76.2,6,4.1,96.5,0,1,1,6.4,1,48.73
1.8,80.6,3,4.9,67.5,1,1,3,4.4,1,44.2
7.3,88.3,10,9.3,57.6,1,0,4,20.4,0,70.01
1.7,56.2,3,6.8,89.4,0,0,3,17.0,1,36.83
8.4,89.5,10,7.4,64.5,1,0,1,23.8,0,75.04
7.4,69.9,9,8.0,63.0,0,0,1,22.3,1,53.92
1.7,44.6,10,8.1,64.3,1,1,4,18.9,0,41.74
1.8,43.5,10,9.6,89.3,0,1,2,29.6,1,49.87
9.9,60.1,10,10.0,88.2,0,1,1,16.2,0,94.04
4.4,87.1,1,8.3,58.2,0,1,1,3.8,1,39.26
4.3,82.5,0,5.7,53.3,0,1,1,24.9,0,33.07
8.3,87.3,8,9.3,64.4,1,1,4,7.9,0,90.03
9.5,71.0,1,4.3,70.1,1,0,1,23.4,0,49.35
9.9,66.4,7,5.4,46.7,1,1,2,28.7,0,56.09
7.8,48.8,8,9.4,85.6,1,1,4,21.1,1,74.02
4.4,59.7,3,5.5,64.1,1,1,2,18.1,0,37.17
1.8,66.0,7,5.3,53.4,0,0,1,14.1,1,22.03
8.0,45.3,8,4.8,37.5,0,1,1,11.3,1,44.13
6.0,53.2,9,9.2,46.7,0,1,2,10.9,0,56.23
4.8,75.9,9,7.0,96.4,0,0,4,19.3,0,64.5
9.2,84.1,4,8.0,51.4,0,1,4,22.7,0,58.23
2.0,99.9,6,5.4,41.8,1,0,2,20.5,0,24.75
5.4,96.0,9,8.5,62.2,0,0,1,6.4,1,65.63
1.1,78.6,3,8.6,51.5,0,1,3,15.1,1,30.86
5.2,65.3,0,5.9,32.5,1,1,2,23.9,1,23.65
1.5,78.2,2,6.5,52.6,1,0,2,14.5,1,25.5
2.1,87.1,4,5.3,68.1,0,1,2,16.3,0,34.82
2.1,47.1,2,9.9,68.6,0,1,1,23.2,1,28.24
6.8,64.6,10,7.9,55.0,1,0,4,20.0,0,61.11
7.7,90.4,6,9.6,61.3,0,0,1,12.6,0,62.45
6.3,63.0,8,5.8,97.6,0,1,2,26.9,1,67.27
9.7,74.3,5,8.7,56.4,0,0,1,5.3,1,68.69
4.4,75.3,9,8.6,48.1,1,1,1,29.9,1,51.73
3.6,51.1,0,8.1,47.0,0,1,2,4.0,1,25.55
8.8,61.7,6,9.8,62.0,0,1,1,0.9,1,74.2
3.0,60.1,2,6.4,83.2,1,1,3,26.8,1,42.78
9.7,41.6,4,4.8,44.4,1,0,1,7.7,0,49.34
1.1,41.5,9,8.0,79.7,1,1,1,22.0,0,42.68
9.7,89.9,3,8.4,31.5,0,0,4,24.4,0,40.96
1.4,56.4,9,7.5,59.3,1,1,4,25.8,1,47.66
9.0,71.1,4,5.2,84.3,0,1,2,29.8,0,60.6
5.7,57.9,4,7.0,53.7,1,0,2,9.2,0,40.87
9.9,96.4,5,5.9,69.5,0,1,4,21.5,0,73.89
1.7,55.6,9,6.6,44.3,1,0,3,3.9,0,33.52
6.0,65.8,9,7.9,81.9,0,0,1,12.5,0,62.21
9.7,92.4,10,8.5,33.7,0,1,3,25.5,0,64.2
5.7,90.5,5,5.4,89.7,1,1,3,11.3,1,77.45
6.7,51.2,7,6.4,43.9,1,1,4,17.9,1,50.29
7.3,88.2,7,5.6,91.2,0,1,2,15.4,1,73.73
5.1,67.5,10,5.2,54.7,1,0,1,19.6,0,43.46
6.6,69.0,8,8.7,80.6,0,1,2,29.2,1,65.94
6.3,48.0,7,9.5,52.3,1,1,3,2.1,1,60.23
9.1,44.8,10,6.2,93.4,1,1,3,17.4,0,82.83
1.4,83.7,1,8.5,38.9,0,1,2,26.0,1,12.98
3.5,69.8,9,9.4,42.5,1,1,2,14.7,0,39.62
9.6,66.2,10,9.1,64.5,1,0,4,2.8,1,88.53
9.0,83.8,0,5.1,35.7,0,1,2,17.0,0,44.45
5.1,85.9,9,9.7,43.7,0,0,2,10.3,0,47.18
6.6,49.5,1,6.3,96.1,1,1,4,5.1,1,70.16
3.5,76.6,1,6.0,98.4,0,1,2,25.5,0,44.19
2.7,48.1,2,4.4,56.3,1,1,3,15.9,1,26.09
5.2,85.1,9,6.9,94.6,1,0,2,28.0,0,66.75
4.2,79.4,6,4.7,68.1,0,1,1,24.3,1,37.95
6.3,97.4,1,5.5,48.9,0,0,3,20.9,1,43.97
1.7,44.1,0,5.9,79.2,0,0,4,0.6,0,21.8
9.8,43.4,5,8.9,76.1,0,1,3,13.1,1,65.27
9.9,56.9,8,9.3,99.2,0,0,4,6.3,1,94.14
7.3,55.7,2,5.8,48.6,0,1,1,27.4,1,24.65
5.8,54.8,5,9.2,77.0,1,1,1,5.7,0,51.75
3.8,94.4,2,9.1,33.6,1,0,3,8.9,0,35.2
8.3,55.0,0,8.6,38.0,0,1,2,15.7,1,37.61
7.2,56.3,4,4.9,30.3,1,1,3,8.3,1,43.42
2.5,85.6,9,8.1,100.0,1,0,3,6.7,0,69.47
9.2,67.0,10,9.7,86.2,1,0,1,18.2,0,93.01
8.4,86.6,3,8.1,85.1,1,0,4,3.1,1,78.33
9.5,43.9,6,6.0,65.7,0,0,3,2.2,0,58.24
7.5,69.3,5,7.0,51.0,1,0,2,11.5,0,47.7
6.5,42.0,9,7.9,40.6,1,0,1,21.8,1,43.63
4.8,43.8,6,7.1,49.9,0,1,3,16.9,0,37.44
9.4,94.4,4,4.7,56.3,0,0,3,13.0,0,64.05
8.8,48.4,3,5.9,82.9,0,0,2,17.2,0,45.87
1.4,71.9,6,8.8,67.8,0,1,3,11.3,1,42.84
1.2,64.7,6,9.2,35.4,1,1,3,28.1,0,26.04
4.4,60.8,5,4.8,31.3,0,0,3,2.1,1,31.55
8.3,94.0,7,9.7,37.2,1,0,3,20.4,0,61.28
9.9,41.3,3,6.0,58.7,1,1,2,26.8,0,50.95
2.4,79.8,9,8.0,95.3,0,0,3,24.2,1,56.05
6.3,97.8,4,8.5,74.6,0,0,3,5.9,1,72.5
4.4,73.6,3,8.9,86.1,0,1,3,9.2,1,61.98
9.7,96.2,0,9.7,62.6,0,0,1,21.7,1,52.02
8.6,43.1,7,5.9,55.3,0,1,2,3.0,0,49.98
8.5,65.1,0,9.2,37.6,0,0,1,24.4,1,28.35
5.2,55.6,4,4.8,91.3,1,1,1,21.7,1,54.99
4.7,83.8,5,8.2,84.8,1,1,2,22.0,1,57.49
3.5,98.9,5,8.5,41.8,1,1,1,3.5,0,44.8
1.5,55.4,4,8.1,65.9,1,0,1,21.7,0,27.7
8.8,79.3,2,5.5,64.1,0,1,1,20.6,1,52.69
8.3,51.9,4,9.2,73.8,0,0,2,25.0,1,55.04
10.0,73.9,7,5.0,96.2,1,1,3,1.7,1,88.69
10.0,67.8,1,4.3,70.6,1,1,4,1.2,1,71.3
6.0,98.3,5,8.3,67.8,1,1,4,11.5,0,65.84
7.9,76.5,8,6.9,33.5,0,0,2,4.9,1,52.44
9.5,61.0,7,9.1,34.4,0,0,4,17.0,0,54.41
8.6,46.8,10,6.3,43.1,0,1,2,27.6,1,52.49
3.2,49.1,7,5.0,32.3,1,0,2,12.0,1,26.0
5.1,53.5,7,9.0,82.0,1,0,4,25.4,0,53.52
2.2,55.1,6,7.3,80.6,0,0,1,0.5,1,41.71
9.6,91.0,7,5.1,39.5,0,1,3,5.5,1,66.77
6.5,73.7,5,8.3,88.5,1,0,4,1.4,1,69.42
3.1,71.4,1,7.1,40.8,1,1,4,10.2,1,29.99
7.0,46.9,1,7.6,51.1,0,1,4,27.3,0,34.27
6.6,91.6,7,6.8,47.4,1,1,4,3.4,1,62.36
4.2,83.4,10,9.0,56.1,0,0,2,18.4,1,59.06
2.0,44.1,0,9.0,47.8,0,1,2,13.8,0,17.99
7.0,82.5,5,8.3,64.2,1,0,3,28.2,1,53.65
5.7,72.6,5,4.6,58.5,1,0,3,4.1,0,55.14
8.0,44.9,10,9.0,99.1,1,1,4,6.8,1,90.15
5.7,67.5,3,8.0,33.9,0,1,4,1.4,1,43.43
8.7,69.1,10,8.2,40.0,1,1,4,13.3,1,69.4
6.0,49.9,10,6.2,33.7,1,0,3,8.7,0,49.02
6.0,96.7,9,9.3,73.8,0,0,4,26.2,0,69.96
8.9,91.0,2,8.4,33.8,0,1,1,18.3,1,44.51
4.6,80.1,10,4.7,88.6,1,1,3,18.6,0,64.47
2.2,67.7,2,6.4,65.8,0,0,1,16.2,1,19.1
1.3,64.7,0,9.3,66.9,0,0,4,3.2,0,28.18
7.8,79.1,2,4.3,69.3,0,1,2,13.6,1,56.15
6.6,72.7,3,9.8,42.0,1,0,1,30.0,0,39.38
7.3,43.7,10,8.1,43.8,1,0,3,25.1,1,51.94
2.9,70.8,10,7.8,52.3,0,0,1,26.9,0,30.84
2.2,88.4,4,5.6,71.5,0,0,3,24.8,0,31.4
1.1,67.6,2,5.5,44.7,0,0,4,3.5,0,22.16
4.2,43.1,5,9.7,38.1,1,0,1,7.2,0,27.46
6.3,87.2,10,5.8,97.9,0,1,2,0.6,1,86.22
4.5,52.1,4,8.7,31.5,0,0,1,9.5,1,19.89
4.9,55.5,2,6.4,86.2,1,1,2,3.7,0,52.69
9.1,49.9,5,4.8,85.2,0,1,3,14.4,1,63.99
4.1,59.8,5,4.1,50.8,1,0,4,20.5,0,36.86
5.6,85.4,7,7.3,39.5,1,1,4,26.3,1,55.67
8.1,71.2,1,9.9,40.2,1,1,2,22.6,0,41.95
4.6,52.3,0,6.2,78.8,0,1,3,28.2,1,33.23
6.6,92.7,3,6.1,75.0,0,0,4,2.1,1,61.05
8.8,92.8,6,6.1,84.8,1,1,3,0.9,0,79.74
9.5,92.2,10,7.1,95.6,0,0,2,20.0,0,83.84
2.3,54.3,9,6.6,78.4,1,1,2,9.0,0,52.24
9.3,67.1,2,9.3,40.9,0,1,1,8.0,0,49.3
5.4,99.1,2,7.0,47.0,1,1,4,10.3,0,50.51
3.3,86.3,4,7.0,89.0,1,1,4,8.5,1,62.76
5.1,41.6,4,4.8,44.7,0,0,1,15.6,0,23.92
9.8,43.9,9,9.9,35.1,0,1,2,13.5,1,59.6
5.4,67.8,2,5.5,79.2,0,1,2,15.6,0,47.19
4.0,94.6,8,4.4,58.2,0,0,2,20.3,1,38.94
6.7,72.3,3,8.0,94.4,1,0,2,11.9,1,50.24
3.2,69.9,2,7.6,75.5,1,0,3,7.9,0,43.99
1.7,46.3,10,6.5,36.3,0,1,4,5.4,0,25.08
2.2,79.4,1,6.5,96.3,0,0,4,10.8,1,45.08
2.2,89.3,9,8.7,48.1,1,0,2,22.4,1,44.01
2.4,62.8,10,5.2,53.6,0,0,2,22.8,0,38.69
2.2,86.5,8,8.9,58.2,0,0,2,20.2,1,45.12
6.8,97.9,3,7.9,33.6,0,0,4,7.4,1,49.19
2.6,52.2,2,6.5,64.8,0,0,4,17.8,1,30.25
4.1,71.4,6,6.7,38.6,1,1,2,17.3,1,41.01
9.1,57.2,7,5.5,58.1,1,0,3,14.8,1,60.47
5.3,87.6,10,8.5,54.5,0,1,1,16.7,1,64.75
7.0,74.7,1,7.1,84.1,1,0,1,15.0,0,48.93
2.6,78.1,6,5.9,86.2,0,0,1,17.2,0,44.58
2.7,87.9,4,7.6,40.7,0,0,4,21.6,0,21.48
1.4,63.8,10,10.0,55.7,0,1,4,3.7,0,48.87
2.5,94.9,4,6.6,56.1,1,0,1,22.6,1,37.13
3.5,72.0,2,9.5,40.6,1,0,1,4.5,0,37.04
2.6,49.5,4,6.1,85.9,1,0,3,2.5,1,39.6
1.8,81.8,1,4.3,79.5,1,0,4,29.3,1,30.93
2.1,87.6,3,5.2,43.3,1,1,4,28.7,0,30.37
5.1,59.0,5,6.5,55.7,0,1,1,2.3,0,42.46
2.9,91.4,0,5.3,37.4,0,1,3,13.6,1,24.48
4.3,94.4,9,4.0,74.0,1,1,3,6.0,0,62.83
5.5,56.6,3,9.5,38.5,1,1,1,14.8,0,31.87
7.2,99.0,5,9.1,99.0,1,0,1,25.0,1,83.11
1.4,48.4,8,8.5,84.6,0,0,4,28.5,1,41.35
8.2,52.1,10,5.0,57.3,1,0,1,19.2,1,60.12
6.7,51.1,10,4.7,70.5,0,1,2,10.9,1,60.6
1.7,93.6,1,4.4,93.8,0,0,3,18.3,1,35.1
8.9,79.3,10,8.3,68.8,1,1,1,9.7,1,87.73
9.3,49.1,6,9.6,42.2,0,0,2,27.3,0,46.96
1.5,66.4,5,6.6,56.5,0,1,3,26.2,0,35.43
3.5,76.9,1,4.7,89.0,1,0,2,17.0,0,36.84
8.3,45.0,7,7.1,75.1,0,0,2,10.1,1,64.63
7.7,92.9,6,6.1,75.6,1,0,1,9.2,1,65.81
2.7,88.2,10,6.2,90.7,0,0,3,1.5,0,66.0
2.9,70.3,4,7.7,92.6,1,1,2,24.6,0,53.87
4.3,98.0,4,8.3,94.4,1,0,4,13.8,0,58.47
5.4,65.1,6,4.7,36.6,0,0,3,10.1,1,34.76
6.6,99.0,8,4.2,68.1,1,0,4,14.4,0,65.63
4.3,80.1,10,10.0,81.8,0,1,1,24.7,0,59.79
5.2,78.1,8,5.4,83.0,0,0,4,4.2,0,65.77
7.7,50.0,8,4.3,72.5,1,0,3,25.8,1,63.28
1.3,92.9,5,5.1,41.7,0,0,2,27.0,0,18.06
3.3,65.6,9,4.2,85.8,1,0,2,28.4,0,49.69
7.4,49.7,5,6.4,80.4,0,0,3,12.2,1,57.53
9.1,40.8,2,8.8,36.0,0,1,2,6.9,1,42.06
5.6,73.6,0,6.0,62.5,1,1,4,11.5,1,42.53
5.8,71.6,6,6.7,42.2,0,1,2,10.3,1,50.07
2.0,83.2,3,8.1,53.6,0,0,2,5.7,1,34.04
5.0,93.4,0,7.1,31.3,0,1,4,18.4,0,30.86
5.8,44.8,7,9.2,58.0,0,0,4,14.6,0,42.79
3.2,83.9,5,9.2,68.5,0,0,4,26.0,1,44.22
3.4,51.2,5,4.1,73.4,0,0,1,1.4,1,36.09
4.4,91.5,1,8.7,76.4,0,0,4,19.5,1,42.42
1.2,89.1,0,6.8,88.5,0,1,4,23.0,1,31.86
3.9,72.4,1,9.9,45.1,1,1,1,22.9,0,26.54
2.9,82.6,3,6.9,38.4,0,1,2,26.6,0,24.04
3.9,58.9,1,9.9,89.6,0,0,4,22.0,1,41.99
2.1,68.3,0,8.5,41.0,1,1,3,27.9,1,15.54
9.0,89.3,6,5.5,98.2,1,1,4,10.3,1,88.34
6.3,67.6,10,7.2,89.0,1,0,4,15.3,1,76.0
7.1,61.5,10,10.0,65.1,0,1,1,0.9,0,67.25
8.1,69.7,7,9.1,98.7,1,0,3,0.7,1,97.7
5.5,89.7,5,4.6,36.8,1,1,2,7.6,1,51.55
1.8,60.1,3,8.2,51.2,0,1,2,3.5,0,30.59
5.8,50.4,5,6.1,74.7,0,1,3,8.2,1,57.91
6.3,82.7,2,4.0,54.5,1,0,4,5.7,0,42.24
7.7,89.6,7,6.4,95.0,1,1,1,1.3,1,81.83
4.9,46.0,9,5.4,34.6,0,1,3,27.3,1,28.09
2.1,54.4,1,8.9,68.5,0,1,3,0.7,0,38.01
3.6,48.5,4,6.0,71.4,0,1,2,22.2,1,32.13
4.3,60.9,0,9.0,75.7,0,0,1,5.0,0,30.22
6.8,67.0,5,4.0,47.9,0,0,3,27.4,0,33.12
6.1,84.9,1,5.8,55.5,1,1,1,26.8,0,37.57
4.2,79.1,3,5.4,89.1,0,1,4,19.8,1,54.62
9.9,77.3,5,5.4,43.6,0,1,2,20.3,1,56.84
6.5,61.1,9,4.4,87.9,0,0,4,0.7,0,64.98
3.1,90.5,10,5.1,69.4,0,1,1,29.6,1,53.54
1.9,68.3,7,7.3,83.4,0,1,4,26.4,1,45.7
2.4,98.7,7,5.7,80.0,1,0,2,26.9,1,51.94
3.2,78.0,10,6.5,44.5,0,0,1,19.9,0,38.99
2.4,47.6,5,6.3,69.8,1,0,3,10.7,0,32.52
2.7,80.6,3,9.3,90.7,0,1,4,26.9,1,49.25
3.6,59.5,7,9.4,60.2,1,0,2,9.1,0,48.48
2.6,81.2,7,7.0,97.7,1,0,3,17.1,1,58.98
9.1,44.2,9,6.0,61.7,0,1,2,3.4,1,64.74
1.7,50.5,0,4.6,40.0,0,0,1,27.7,1,0.0
5.7,91.3,3,9.7,57.3,0,1,1,4.7,0,60.39
4.7,53.6,3,4.4,96.6,0,1,4,7.1,0,54.44
9.8,90.2,6,5.8,52.4,0,0,2,17.0,1,65.1
2.0,56.8,10,5.8,90.8,1,1,2,23.0,0,55.12
4.6,78.6,6,5.9,91.7,0,0,2,18.8,1,52.32
9.7,81.6,10,5.0,54.5,0,0,1,7.3,0,68.15
8.8,70.8,7,8.7,35.8,1,0,4,0.5,0,62.9
8.4,58.3,10,4.7,80.7,0,1,2,22.8,0,68.6
3.3,52.8,4,7.8,51.8,1,0,2,29.6,1,27.63
2.5,42.0,6,4.7,84.8,0,1,3,24.4,1,39.45
7.0,58.2,7,4.4,61.0,1,1,2,14.1,1,55.18
9.4,79.2,8,9.5,64.0,0,1,4,27.2,0,73.33
6.0,96.3,2,5.1,84.5,1,0,3,12.6,1,56.83
6.1,92.3,2,8.9,56.8,1,1,3,16.0,1,55.17
3.5,86.0,3,7.3,61.0,0,1,3,14.6,1,49.14
7.9,87.3,4,4.5,56.3,0,0,1,13.7,1,51.77
2.7,79.9,9,9.7,55.7,0,0,3,23.4,0,43.43
3.9,55.6,0,5.5,66.8,1,1,2,16.0,0,38.01
4.8,94.4,6,9.2,86.6,1,1,1,9.8,1,66.85
5.6,80.2,8,5.0,55.3,1,0,1,8.1,0,47.34
3.2,73.6,7,9.1,66.7,0,1,1,1.6,0,57.65
2.0,46.7,4,4.1,77.0,0,1,1,17.7,0,25.34
6.5,66.8,3,7.1,48.9,1,1,1,7.3,0,43.57
3.6,67.6,6,8.6,49.4,0,1,1,4.9,0,33.91
6.2,91.9,4,9.6,95.3,1,0,1,19.8,1,72.68
2.4,72.8,6,9.5,80.6,0,1,3,20.6,0,50.9
5.3,62.8,0,8.9,70.4,0,0,4,22.7,1,34.54
5.8,98.6,0,9.3,75.3,1,1,2,15.4,1,59.22
1.5,46.6,9,5.2,32.1,0,0,2,26.9,1,12.86
4.0,65.4,2,5.7,73.3,0,1,3,28.1,0,34.76
2.2,42.5,10,5.7,65.7,0,0,3,24.3,0,27.91
1.6,84.4,1,6.3,68.2,0,1,1,19.3,0,31.19
9.9,95.1,1,6.4,55.2,0,0,4,9.5,0,62.9
3.9,56.8,6,7.3,35.7,1,1,1,29.5,1,27.28
8.3,91.5,9,5.0,43.5,0,1,3,8.6,1,65.97
3.3,57.5,1,8.1,96.6,1,0,1,6.5,1,46.69
7.1,94.6,10,5.0,58.6,0,0,2,13.5,0,59.47
7.8,85.2,3,5.9,62.7,0,0,2,2.2,1,55.26
6.4,88.3,1,7.0,33.7,1,0,1,29.4,1,30.33
5.2,41.1,5,8.8,32.6,1,0,4,17.9,1,40.15
4.7,97.8,7,8.4,80.2,0,1,1,16.9,0,66.4
4.1,83.6,9,7.9,67.7,0,0,1,19.8,1,57.16
9.4,58.3,3,4.9,65.6,1,0,4,15.2,1,60.79
8.5,89.8,4,7.3,47.0,1,1,4,1.4,0,61.7
9.7,56.9,3,4.5,82.1,1,0,4,18.6,1,65.22
2.1,92.4,2,6.3,41.8,1,0,2,21.6,0,26.79
7.6,46.8,4,6.5,43.3,0,0,1,12.8,1,30.43
9.4,82.2,8,4.2,62.2,0,1,3,22.8,0,68.85
2.6,72.4,7,5.6,50.0,0,0,4,7.2,0,45.9
1.6,45.8,7,9.7,47.3,0,1,4,7.0,0,37.05
7.7,54.5,7,9.7,75.2,0,1,1,5.3,1,73.95
6.2,40.7,7,6.1,75.6,1,0,3,11.5,1,57.42
8.6,68.1,6,4.3,87.7,1,1,1,25.5,0,70.46
2.3,58.1,7,5.1,59.2,1,0,1,24.9,0,25.09
8.2,75.9,10,6.4,35.1,0,0,4,11.8,0,60.81
2.8,57.8,7,9.7,49.2,1,0,4,17.9,0,41.38
2.5,58.0,7,4.8,98.6,0,0,2,21.8,0,44.85
2.5,84.6,9,8.6,71.7,0,0,3,7.6,0,60.12
8.3,42.9,6,4.7,79.7,0,1,3,5.5,0,58.63
7.0,94.2,0,9.9,30.5,1,1,4,29.2,0,40.11
5.7,91.1,3,6.3,66.3,0,1,4,18.7,0,51.79
4.2,80.1,3,8.7,32.6,0,1,4,29.5,0,23.7
8.9,75.6,4,6.1,69.8,1,0,3,10.5,0,65.62
4.5,93.5,9,7.8,94.5,0,0,2,21.2,0,59.76
8.3,51.1,5,5.2,97.8,1,1,3,7.1,1,80.22
5.0,44.7,3,4.9,67.8,0,0,4,8.2,0,35.61
4.4,54.4,1,9.6,62.1,1,1,4,15.6,1,40.61
5.2,87.7,5,9.5,96.2,0,1,2,9.9,1,68.45
3.7,42.1,7,9.3,77.2,0,1,1,5.4,1,49.0
7.7,75.0,7,7.8,34.5,1,1,1,8.3,0,57.17
5.5,99.7,6,8.8,62.6,0,0,3,1.6,1,66.62
3.1,91.3,5,4.4,46.8,1,0,1,21.3,0,27.68
9.1,71.3,1,6.0,62.9,0,1,1,15.0,1,48.14
4.5,43.8,6,5.9,61.9,1,1,3,3.3,0,48.7
5.9,89.9,10,7.8,70.8,0,1,4,5.6,0,71.69
9.2,75.9,4,6.1,55.0,0,1,1,3.5,1,60.44
6.6,46.9,5,4.9,41.5,0,1,4,18.6,1,38.08
2.1,45.6,9,7.6,65.3,1,0,3,3.3,0,45.58
9.5,94.6,7,8.9,88.1,1,1,4,22.8,1,96.93
6.6,80.2,7,6.3,76.5,1,1,4,1.1,0,69.23
4.0,89.8,2,4.8,53.7,1,0,3,7.9,0,30.04
2.3,92.7,6,5.2,95.5,1,0,4,26.8,0,52.62
8.1,74.3,0,5.4,93.9,0,0,1,21.7,1,61.48
6.6,71.0,0,5.8,44.7,0,0,1,2.7,0,38.88
5.8,65.8,6,7.9,32.8,0,0,1,24.7,0,37.06
9.0,59.0,9,7.6,81.9,0,0,1,15.0,0,68.62
8.1,66.1,8,8.2,87.9,0,0,4,25.5,0,63.01
2.4,86.4,6,6.2,97.8,1,0,1,18.2,1,46.62
3.8,76.1,9,8.9,92.3,0,0,4,20.6,1,63.75
3.2,93.6,4,5.2,72.0,1,1,2,29.8,1,45.21
7.7,66.6,7,6.8,67.1,0,0,4,7.4,1,70.46
1.3,76.4,1,8.8,31.9,1,1,1,18.9,0,18.41
6.1,77.9,8,5.1,47.3,1,1,2,14.1,0,53.89
7.9,75.5,5,4.7,62.2,1,1,3,1.7,0,60.21
8.9,82.2,8,9.3,74.0,0,1,4,0.9,0,80.34
4.1,54.2,1,6.1,69.0,0,1,1,4.0,0,33.19
8.4,70.7,2,8.1,82.0,0,1,1,19.6,0,60.78
2.0,46.3,7,4.2,49.6,0,1,1,17.2,1,24.37
8.6,63.1,0,8.1,69.5,1,1,3,16.8,0,50.87
2.1,69.3,9,5.9,36.2,1,0,2,1.4,0,37.76
4.6,79.1,6,4.3,59.0,1,1,2,14.3,0,49.09
8.2,97.0,6,7.7,82.5,1,1,1,27.8,1,72.04
2.3,76.0,0,5.4,78.5,0,1,4,12.2,0,31.06
3.1,84.6,8,6.3,99.3,1,1,1,18.9,0,67.02
7.5,70.4,7,4.5,49.5,0,0,1,23.5,0,41.11
7.5,78.0,3,4.9,64.9,1,1,4,23.6,1,64.36
6.8,44.3,9,5.8,53.1,1,0,1,15.8,0,48.87
7.2,55.3,10,4.5,60.8,1,0,3,25.8,0,52.84
5.9,61.7,4,9.5,90.0,0,1,1,12.0,1,60.6
3.3,68.3,1,4.0,77.9,0,1,3,26.7,0,30.2
4.1,42.7,8,6.9,91.8,1,0,1,7.6,1,54.19
2.6,48.4,5,4.7,44.2,1,1,2,8.8,0,21.56
9.2,56.6,2,5.8,91.1,1,1,4,2.1,1,78.29
6.3,98.3,6,9.6,34.2,0,0,2,24.0,0,47.98
4.6,59.9,8,5.0,92.2,0,0,1,12.8,0,55.47
5.2,68.9,2,9.8,53.0,0,1,1,7.3,1,48.25
9.5,51.8,1,5.2,52.0,1,1,3,7.3,0,47.32
2.4,76.6,6,8.4,65.8,0,1,1,27.1,0,43.73
6.3,56.8,6,7.3,95.8,1,0,1,25.1,1,57.78
5.6,52.4,3,9.3,33.3,0,1,1,16.8,0,21.95
6.5,71.0,10,7.3,54.7,1,0,2,18.7,1,53.3
1.2,40.3,8,7.2,90.0,1,0,3,14.5,0,41.88
8.8,40.5,7,5.2,57.7,0,1,2,12.1,1,52.35
9.4,53.1,0,5.0,43.9,1,0,3,27.5,0,36.34
6.1,42.2,0,9.5,59.7,1,1,2,4.2,0,41.47
7.3,46.5,4,6.0,57.0,1,1,1,12.8,1,42.18
9.3,60.3,5,6.2,94.1,0,0,2,10.7,0,67.09
7.4,88.2,2,8.6,83.3,1,1,2,15.2,1,68.28
2.4,74.3,8,6.0,65.4,0,0,3,14.0,1,36.28
6.2,70.8,9,9.7,99.2,0,0,3,15.8,1,73.63
6.5,57.6,5,8.4,62.6,1,1,2,4.6,0,53.1
4.8,95.9,3,7.6,34.1,0,1,3,15.6,0,42.74
7.6,63.8,6,9.3,48.4,1,1,3,7.7,0,60.8
9.4,45.2,7,4.3,60.5,0,1,3,5.9,1,64.44
9.3,77.0,8,5.5,41.0,1,0,4,2.4,1,62.46
5.1,46.8,10,6.8,96.3,0,0,3,23.0,1,67.28
2.0,60.7,5,5.4,83.7,1,0,4,13.1,0,48.41
9.9,70.4,5,8.5,48.8,1,1,4,19.0,1,59.47
8.6,92.5,7,9.5,71.4,1,0,3,22.0,0,72.78
2.1,69.6,4,6.5,80.5,1,0,2,20.5,0,40.07
9.3,82.1,2,6.1,95.9,0,1,3,14.4,0,75.18
8.8,99.6,2,9.8,91.7,0,1,1,11.9,0,72.88
5.7,47.9,5,6.7,66.1,1,1,2,11.6,0,46.59
